Nachname|Vorname|Geburtsdatum|Jahr|Abschnitt|Jahrgang|Klasse|Schulgliederung|OrgForm|Klassenart|Fachklasse|Förderschwerpunkt|2. Förderschwerpunkt|Schwerstbehinderung|Wertung|Wiederholung|Klassenlehrer|Versetzung|Abschluss|Schwerpunkt
Hoopmann|Nina|26.08.1994|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Hoopmann|Nina|26.08.1994|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Hoopmann|Nina|26.08.1994|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Hoopmann|Nina|26.08.1994|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Kreutz|Eva-Maria|08.12.1993|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Kreutz|Eva-Maria|08.12.1993|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Kreutz|Eva-Maria|08.12.1993|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Kreutz|Eva-Maria|08.12.1993|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Kreutz|Eva-Maria|08.12.1993|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Kreutz|Eva-Maria|08.12.1993|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Kribbeler|Leon|20.09.1994|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Kribbeler|Leon|20.09.1994|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Kribbeler|Leon|20.09.1994|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Kribbeler|Leon|20.09.1994|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Kribbeler|Leon|20.09.1994|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Kribbeler|Leon|20.09.1994|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Leisten|Miriam|01.06.1991|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Leisten|Miriam|01.06.1991|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Leisten|Miriam|01.06.1991|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Leisten|Miriam|01.06.1991|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Leisten|Miriam|01.06.1991|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Leisten|Miriam|01.06.1991|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Löwen|Ellen|12.06.1993|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Löwen|Ellen|12.06.1993|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Löwen|Ellen|12.06.1993|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Löwen|Ellen|12.06.1993|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Löwen|Ellen|12.06.1993|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Löwen|Ellen|12.06.1993|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Maurer|Leonie|29.07.1994|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Maurer|Leonie|29.07.1994|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Maurer|Leonie|29.07.1994|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Maurer|Leonie|29.07.1994|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Maurer|Leonie|29.07.1994|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Maurer|Leonie|29.07.1994|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Mertens|Michelle|23.09.1993|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Mertens|Michelle|23.09.1993|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Mertens|Michelle|23.09.1993|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Mertens|Michelle|23.09.1993|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Mertens|Michelle|23.09.1993|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Mertens|Michelle|23.09.1993|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Münker|Philipp|27.08.1992|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Münker|Philipp|27.08.1992|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Münker|Philipp|27.08.1992|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Münker|Philipp|27.08.1992|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Münker|Philipp|27.08.1992|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Münker|Philipp|27.08.1992|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Petersen|Daniela|16.04.1994|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Petersen|Daniela|16.04.1994|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Petersen|Daniela|16.04.1994|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Petersen|Daniela|16.04.1994|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Petersen|Daniela|16.04.1994|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Petersen|Daniela|16.04.1994|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Pfeil|Isabelle|25.01.1995|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Pfeil|Isabelle|25.01.1995|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Pfeil|Isabelle|25.01.1995|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Pfeil|Isabelle|25.01.1995|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Pfeil|Isabelle|25.01.1995|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Pfeil|Isabelle|25.01.1995|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Reimer|Stefanie|11.08.1994|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Reimer|Stefanie|11.08.1994|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Reimer|Stefanie|11.08.1994|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Reimer|Stefanie|11.08.1994|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Reimer|Stefanie|11.08.1994|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Reimer|Stefanie|11.08.1994|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
von Weichs|Lukas|13.05.1993|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
von Weichs|Lukas|13.05.1993|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
von Weichs|Lukas|13.05.1993|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
von Weichs|Lukas|13.05.1993|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
von Weichs|Lukas|13.05.1993|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
von Weichs|Lukas|13.05.1993|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Winkler|Andreas|23.07.1993|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Winkler|Andreas|23.07.1993|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Winkler|Andreas|23.07.1993|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Winkler|Andreas|23.07.1993|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Winkler|Andreas|23.07.1993|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Winkler|Andreas|23.07.1993|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Zingsheim|Fenja|11.08.1994|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Zingsheim|Fenja|11.08.1994|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Zingsheim|Fenja|11.08.1994|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Zingsheim|Fenja|11.08.1994|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Zingsheim|Fenja|11.08.1994|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Zingsheim|Fenja|11.08.1994|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
